# Prioritization file for occultation-standard
# Version: 1.0.1
# Updated by: Joe P. Renaud
# Updated on: 2026-05-08 17:00:15
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
116,LTT_3780,0.887025,600.0,0.0,600.0
117,G3419288030590780416,0.886913,600.0,0.0,600.0
118,Kepler-45,0.886801,600.0,0.0,600.0
119,TOI-2384,0.886689,600.0,0.0,600.0
120,61_Cygni_A,0.886577,600.0,0.0,600.0
121,KELT-11,0.886465,600.0,0.0,600.0
122,TOI-762_A,0.886353,600.0,0.0,600.0
123,EQ_Peg,0.886242,600.0,0.0,600.0
124,G164519276325850752,0.88613,600.0,0.0,600.0
125,HD_33793,0.886018,600.0,0.0,600.0
126,Barnards_Star,0.885906,600.0,0.0,600.0
127,TOI-5688_A,0.885794,600.0,0.0,600.0
128,HD_215441,0.885682,600.0,0.0,600.0
129,HD_6090,0.88557,600.0,0.0,600.0
130,G157011536054213504,0.885459,600.0,0.0,600.0
131,NGTS-1,0.885347,600.0,0.0,600.0
132,HD_30353,0.885235,600.0,0.0,600.0
133,HD_95735,0.885123,600.0,0.0,600.0
134,K2-419_A,0.885011,600.0,0.0,600.0
135,G151423440003137024,0.884899,600.0,0.0,600.0
136,BD-16_251,0.884787,600.0,0.0,600.0
137,HD_50169,0.884676,600.0,0.0,600.0
138,G146767764173923328,0.884564,600.0,0.0,600.0
139,HD_184738,0.884452,600.0,0.0,600.0
140,HD_125823,0.88434,600.0,0.0,600.0
141,TOI-6383_A,0.884228,600.0,0.0,600.0
142,G3314351053152780032,0.884116,600.0,0.0,600.0
143,HD_101065,0.884004,600.0,0.0,600.0
144,TOI-6330,0.883893,600.0,0.0,600.0
145,HD_37519,0.883781,600.0,0.0,600.0
146,HD_114762,0.883669,600.0,0.0,600.0
147,TOI-5634_A,0.883557,600.0,0.0,600.0
148,G151129011404806912,0.883445,600.0,0.0,600.0
149,G146881048231272192,0.883333,600.0,0.0,600.0
150,HD_304043,0.883221,600.0,0.0,600.0
151,BD+44_2051,0.88311,600.0,0.0,600.0
152,HD_188136,0.882998,600.0,0.0,600.0
153,TOI-2379,0.882886,600.0,0.0,600.0
154,Wolf_359,0.882774,600.0,0.0,600.0
155,HATS-71,0.882662,600.0,0.0,600.0
156,V733_Cephei,0.88255,600.0,0.0,600.0
157,G152349022637314176,0.882438,600.0,0.0,600.0
158,G146874275068113664,0.882327,600.0,0.0,600.0
159,HR_2422,0.882215,600.0,0.0,600.0
160,TOI-5344,0.882103,600.0,0.0,600.0
161,G152516079683687680,0.881991,600.0,0.0,600.0
162,RU_Lupi,0.881879,600.0,0.0,600.0
163,G152305248330621184,0.881767,600.0,0.0,600.0
164,YZ_CMI,0.881655,600.0,0.0,600.0
165,G960686430659873024,0.881544,600.0,0.0,600.0
166,TIC_96745915,0.881432,600.0,0.0,600.0
167,TIC_181273463,0.88132,600.0,0.0,600.0
168,TIC_70847587,0.881208,600.0,0.0,600.0
169,TIC_217157387,0.881096,600.0,0.0,600.0
170,TIC_147407292,0.880984,600.0,0.0,600.0
171,TIC_458494003,0.880872,600.0,0.0,600.0
172,TIC_179348425,0.880761,600.0,0.0,600.0
173,TIC_353969903,0.880649,600.0,0.0,600.0
174,TIC_93279196,0.880537,600.0,0.0,600.0
175,TIC_238115675,0.880425,600.0,0.0,600.0
176,TIC_332064670,0.880313,600.0,0.0,600.0
